"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Oct-2024","EQ","515.45","516.00","500.05","512.30","502.50","503.85","504.45","632.70","390.90","14,88,448","75,08,53,243.70","50,817"
"21-Oct-2024","EQ","521.00","527.95","509.05","518.65","514.00","512.30","516.63","632.70","390.90","7,52,975","38,90,12,974.35","28,787"
"18-Oct-2024","EQ","512.50","522.00","507.40","512.80","517.40","518.65","516.80","632.70","390.90","5,69,461","29,42,96,041.80","23,395"
"17-Oct-2024","EQ","519.85","522.90","511.25","518.45","512.00","512.80","514.34","632.70","390.90","9,01,930","46,39,00,139.00","31,205"
"16-Oct-2024","EQ","520.40","530.90","511.50","519.90","518.85","518.45","521.33","632.70","390.90","17,88,979","93,26,52,290.95","40,124"
"15-Oct-2024","EQ","527.00","527.00","517.85","525.30","520.75","519.90","521.59","632.70","390.90","5,93,309","30,94,61,761.60","17,981"
"14-Oct-2024","EQ","525.05","529.95","521.95","524.55","523.40","525.30","525.20","632.70","390.90","3,98,039","20,90,51,564.60","17,455"
"11-Oct-2024","EQ","520.05","528.70","520.05","523.95","523.10","524.55","525.36","632.70","390.90","3,33,571","17,52,44,271.70","12,340"
"10-Oct-2024","EQ","527.90","530.55","521.75","527.90","523.60","523.95","526.16","632.70","390.90","3,71,064","19,52,39,815.30","16,098"
"09-Oct-2024","EQ","525.15","534.45","520.80","528.90","529.00","527.90","527.33","632.70","390.90","8,77,141","46,25,45,960.20","30,283"
"08-Oct-2024","EQ","518.55","530.50","510.95","518.65","528.65","528.90","524.66","632.70","390.90","10,47,868","54,97,73,539.90","33,389"
"07-Oct-2024","EQ","531.10","531.10","510.40","523.35","518.25","518.65","517.71","632.70","390.90","12,43,472","64,37,54,366.70","68,939"
"04-Oct-2024","EQ","519.00","538.00","507.50","515.95","524.00","523.35","525.09","632.70","390.90","22,18,975","1,16,51,56,448.70","54,076"
"03-Oct-2024","EQ","517.00","528.50","513.70","527.10","514.50","515.95","518.73","632.70","390.90","13,27,525","68,86,31,237.80","36,242"
"01-Oct-2024","EQ","522.95","529.85","521.60","524.05","526.20","527.10","526.92","632.70","390.90","4,48,248","23,61,92,592.50","20,217"
"30-Sep-2024","EQ","536.50","538.95","517.70","539.45","522.05","524.05","526.90","632.70","390.90","25,33,991","1,33,51,67,152.15","54,182"
"27-Sep-2024","EQ","536.90","541.80","529.25","532.65","535.45","539.45","537.21","632.70","390.90","16,65,535","89,47,40,980.10","63,950"
"26-Sep-2024","EQ","525.00","534.35","519.75","526.20","530.95","532.65","527.30","632.70","390.90","28,98,448","1,52,83,45,393.40","96,313"
"25-Sep-2024","EQ","528.80","531.30","519.20","528.70","524.90","526.20","524.95","632.70","390.90","9,18,389","48,21,04,795.35","34,913"
"24-Sep-2024","EQ","536.85","536.85","526.65","536.85","527.50","528.70","529.98","632.70","390.90","6,99,650","37,08,01,810.20","26,501"
"23-Sep-2024","EQ","510.00","539.35","510.00","509.50","534.50","536.85","531.13","632.70","390.90","29,29,528","1,55,59,69,174.35","77,308"
"20-Sep-2024","EQ","508.80","514.75","505.00","509.30","510.00","509.50","510.31","632.70","390.90","21,24,662","1,08,42,30,995.70","68,497"
